name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
Community Hlth Ctr of Southern IA,NA,1711 Osceola Avenue Chariton IA 50049,Suite 115,641-774-8484,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * FQHC * CLF CMHG MC MD MI PI SF SI SMHA * SS * CO * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR SPS,41.02090562078533,-93.31885977197312
North Iowa Counseling LLC,NA,800 11th Street Charles City IA 50616,NA,319-559-1065 x2,NA,NA,NA,NA,SA MH SUMH * OP * OMH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTP * CMHG MD MI PI SF SI * TAY SE GL VET MF CO DV TRMA PED PEFP PTSD SED SMI * STU * SMON * ADLT CHLD SNR YAD * VAPN,43.05175555,-92.6837181001488
Mental Health Institute,NA,1251 West Cedar Loop Cherokee IA 51012,NA,712-225-2594,712-225-6914,NA,NA,NA,MH * HI * PSY * CHLOR DROPE FLUPH HALOP PERPH PROCH ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT * WI * STG * CLF MC MD MI PI SI * TAY SE SED SMI * STU * HIVT TBS MST LABT * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT DEC FPSY IMR PRS CM IPC SPS ES,42.7572584,-95.5727803
Plains Area Mental Health Center,NA,900 North 2nd Street Cherokee IA 51012,Suite 200,712-225-2575,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP CARIP LURAS PALIP RISPE ANTPYCH * CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY CM ES,42.7590384,-95.5511772
Southwest Iowa Families Inc,NA,215 East Washington Street Clarinda IA 51632,NA,712-542-3501,NA,NA,NA,NA,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MHC * CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * TAY SE PTSD SED SMI * SMON * ADLT CHLD SNR YAD * VAPN,40.739185285714285,-95.036203
Waubonsie Mental Health Center,NA,216 West Division Street Clarinda IA 51632,NA,712-542-2388,NA,800-432-1143,NA,NA,MH SUMH * OP * CMHC * AT CBT CFT DBT EMDR GT IPT TELE * CIT PEON * PVTN * CLF CMHG MC MD MI OSF PI SF SI SMHA * PA SS * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT ICM CM SPS,40.73088266489103,-95.03947367903376
Bridgeview Community Mental Health Ctr,NA,1320 19th Avenue NW Clinton IA 52732,NA,563-243-5633,NA,NA,NA,NA,MH * OP * CMHC * CHLOR FLUPH HALOP PERPH THIOR ARIPI ASENA CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * PA SS * PEER * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT DEC FPSY CM SPS ES,41.8669103,-90.2047425
MercyOne Clinton Medical Center,Behavioral Health Care,1410 North 4th Street Clinton IA 52732,NA,563-244-5555,NA,NA,NA,NA,MH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH PROCH THIOT TRIFL ARIPI ASENA CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT TELE * PVTN * CLF MC MD MI PI SF SI SMHA SWFS * SMI * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM COOT CM SPS,41.86153195,-90.18929551643866
Community Hlth Ctr of Southern IA,NA,102-104 North Franklin Street Corydon IA 50060,NA,641-872-1750,NA,NA,NA,NA,SA MH * OP * CMHC * ANTPYCH * CBT CFT DBT EMDR IDD IPT TELE * PVTN * FQHC * CLF CMHG CSBG ITU MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * SS * STU * ADLT CHLD SNR YAD * VPPD * COOT FPSY SPS,40.7585707,-93.31913
CHI Health Mercy,Mercy McDermott,800 Mercy Drive Council Bluffs IA 51503,NA,402-717-4674,402-717-4673,NA,NA,NA,MH * HI PHDT * IPSY * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * STU * MST LABT * PEER * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT CDM COOT DEC FPSY IMR LAD CM IPC SPS,41.2683317,-95.8386098
CHI Health Psychiatric Associates,Mercy,801 Harmony Street Council Bluffs IA 51503,Suite 302,712-328-2609,402-717-4673,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI SMHA SWFS VAF * CO * STU * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY CM IPC SPS,41.26984113513514,-95.84096151351352
Methodist Jennie Edmundson Hospital,Behavioral Health,933 East Pierce Street Council Bluffs IA 51503,NA,712-396-6044,NA,NA,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP THIOR ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT ECT GT IDD * PEON * PVTN * CLF MC MD MI OSF PI SF SI SMHA VAF * CO * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT DEC LAD CM SPS ES,41.26805195,-95.83535983748229
Northeast Iowa Mental Health Center,NA,112 North Elm Street Cresco IA 52136,NA,563-382-3649,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT CM SPS,43.37291210204082,-92.11640147959184
Crossroads Behavioral Health Services,NA,1003 Cottonwood Road Creston IA 50801,NA,641-782-8457,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CLOZA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * TAY SE CO TRMA PTSD SED SMI * STU * HS PEER * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM LAD PRS CM SPS ES,41.06843502040817,-94.38519704081634
Genesis Medical Center,West Central Park,1401 West Central Park Avenue Davenport IA 52804,NA,563-421-2990,NA,NA,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD MI PI SF SWFS VAF * TAY CO TRMA PTSD SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC FPSY IMR CM SPS ES,41.5429417,-90.59371067229604
Terrace Ridge,NA,4626 Progress Drive Davenport IA 52807,Suite D,563-823-3460,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * NSC * CBT DBT GT IPT * CIT WI * PVTN * MHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SED SMI * STU * PEER * TCC * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY ICM IMR PRS CM SPS ES,41.5695414046223,-90.51849319344365
Vera French Community MH Center,NA,1441 West Central Park Avenue Davenport IA 52804,NA,563-383-1900,NA,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT DBT EMDR GT IPT TMS TELE AIM * CIT PEON WI * PVTN * MHC * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * STU * MST * PEER * TCC * SMOP * ADLT CHLD SNR YAD * AH SP * VAPP * ACT COOT IMR CM IPC SPS,41.545593717391306,-90.59532406521738
Vera French Sheridan Springs,NA,5006 Sheridan Street Davenport IA 52806,NA,563-345-6670,563-345-7106,NA,NA,NA,MH * RES * RTCA * FLUPH HALOP LOXAP ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT IPT AIM * PVTN * CLF MD SF SI * SMI * STU * TBS MST LABT * TCC * ADLT SNR YAD * AH * VPPD * CDM COOT DEC IMR LAD PRS SEMP SPS,41.57097515477284,-90.57262477662084
Northeast Iowa Behavioral Health,NA,905 Montgomery Street Decorah IA 52101,NA,563-382-3649,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP OLANZ OLANZF RISPE ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * TAY SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT FPSY ICM CM SPS,43.29439228571428,-91.7711557755102
Penn Center RCF,NA,2237 245th Street Delhi IA 52223,NA,563-922-2881,NA,NA,NA,NA,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH THIOT THIOR ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * GT IPT * PVTN * CLF OSF SF SMHA VAF * CO SMI * STU * MST LABT * TCC * ADLT SNR YAD * VAPN * COOT DEC IPC SPS ES,NA,NA
Plains Area Mental Health Center,Denison,515 Highway 39 Denison IA 51442,NA,712-263-3172,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP PALIP ANTPYCH * CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY CM IPC ES,42.0214022,-95.3689867
Broadlawns Medical Center,New Connections,1801 Hickman Road Des Moines IA 50314,NA,515-282-6610,515-282-6638,NA,NA,NA,SA MH SUMH * OP PHDT * OMH * CBT GT IDD * CIT PEON PEOFF * LCCG * CLF MC MD OSF PI SI * CO * STU * SMON * ADLT SNR YAD * AH * VAPN * COOT SPS ES,41.6165472,-93.64012686477572
Eyerly Ball,Community Mental Health Services,945 19th Street Des Moines IA 50314,NA,515-241-0982,NA,NA,NA,NA,MH * PHDT * CBHC * ANTPYCH * AT GT IDD AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG FG MC MD MI PI SF SI SMHA * SS * CJ SMI * STU * TBS MST * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT COOT DEC FPSY PRS SEMP SH VRS CM IPC SPS ES,41.59490735,-93.64213936659756
Eyerly Ball,Community MH Services,1301 Center Street Des Moines IA 50309,NA,515-243-5181,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * SS * SE CO PEFP SED SMI * STU * TBS MST LABT * HS * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY SH SPS,41.59198555,-93.63407188442147
Eyerly Ball,Residential/Cummins House,940 Cummins Parkway Des Moines IA 50312,NA,515-277-7933,NA,NA,NA,NA,MH * RES * RTCA * CHLOR FLUPH HALOP PERPH TRIFL ARIPI ASENA CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT DBT GT IPT * CIT PEOFF * PVTN * CLF MC MD SF SI SMHA * SMI * STU * HS * ADLT SNR YAD * VPPD,41.594183,-93.701193
Eyerly Ball,Residential/Francis House,5631 Francis Avenue Des Moines IA 50310,NA,515-279-1015,NA,NA,NA,NA,MH * RES * RTCA * CHLOR FLUPH HALOP PERPH TRIFL ARIPI ASENA CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT DBT GT IPT * CIT PEOFF * PVTN * CLF CMHG MC MD SF SI SMHA * SMI * STU * HS * ADLT SNR YAD * VPPD,41.6140921,-93.6957554839015
Iowa Lutheran Hospital,Powell Chemical Dependency Center,700 East University Avenue Des Moines IA 50316,4th Floor,515-263-2424 x1,NA,NA,NA,NA,SA MH * OP PHDT RES * IPSY * NRT * CBT CFT EMDR GT IPT TELE * CIT PEON * PVTN * MC MD PI SF * TAY SE GL CJ CO HV DV TRMA ALZ PED PEFP PTSD SMI * TBS * SMON * ADLT SNR YAD * AH * VAPN * FPSY ES,41.60278145,-93.60990007376355
MercyOne Des Moines,First Step Recovery,1750 48th Street Des Moines IA 50310,Suite 2,515-271-6075,NA,NA,NA,NA,SA MH * OP * OMH * CBT GT IDD TELE * PVTN * MC MD MI PI SF SI * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT CM,41.6100156,-93.68341989639752
Orchard Place,Campus,925 Porter Avenue Des Moines IA 50315,NA,515-285-6781,NA,NA,NA,NA,SA MH SUMH * RES * RTCC * CHLOR HALOP CLOZA OLANZ OLANZF RISPE ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MD MI PI SF SI * GL MF CO TRMA PEFP PTSD SED * STU * HIVT STDT TBS MST HBT HCT LABT * SMON * CHLD * SP * VAPN * COOT DEC FPSY CM ES,41.53381616216216,-93.62638897297298
Orchard Place,Child Guidance Center,808 5th Avenue Des Moines IA 50309,NA,515-244-2267,NA,NA,NA,NA,MH * OP * CMHC * CHLOR HALOP CLOZA OLANZ OLANZF RISPE ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * CLF CMHG MD MI OSF PI SCJJ SEF SF SMHA SWFS * PA SS * GL MF CJ TRMA PED PEFP PTSD SED * CHLD YAD * AH * VPPD * COOT FPSY SPS,41.591866800000005,-93.62483044983092
Orchard Place,PACE,620 8th Street Des Moines IA 50309,NA,515-697-5700,515-697-5705,NA,NA,NA,SA MH * OP * OMH * CBT GT IPT TELE * PVTN * CLF MC MD MI PI SCJJ SF SI SWFS * TAY GL MF CJ CO TRMA PTSD SED * STU * PEER * SMON * CHLD YAD * AH SP * VAPN * COOT FPSY ICM CM IPC ES,41.58827885,-93.62842195749006
Hillcrest Family Services,Asbury Community Mental Health Center,2005 Asbury Road Dubuque IA 52001,NA,563-583-7357,563-583-7357 x1202,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEOFF WI * PVTN * CLF CMHG CSBG MC MD OSF PI PCF SCJJ SF SI SMHA SWFS * PA SS * STU * HIVT STDT HBT HCT * PEER * TCC * SMON * ADLT CHLD SNR YAD * VAPN * ACT COOT ICM IPC SPS,42.5015626,-90.6973527
Hillcrest Family Services,Dubuque Community Mental Health Center,200 Mercy Drive Dubuque IA 52001,NA,563-582-0145,NA,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEOFF WI * PVTN * CLF CMHG CSBG MC MD OSF PI PCF SCJJ SF SI SMHA SWFS * PA SS * STU * HIVT STDT HBT HCT * TCC * SMON * ADLT CHLD SNR YAD * SP * VAPN * COOT ICM IPC SPS,42.49294,-90.674396
MercyOne Dubuque Medical Center,Psychiatric Services,250 Mercy Drive Dubuque IA 52001,NA,563-589-9299,NA,563-589-9293,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PROCH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT ECT GT IPT * PVTN * MC MD MI PI SF SI SMHA VAF * SED * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC CM,42.4924767,-90.67485089288375
Unitypoint Health,Finley Hospital/Behavioral Health,350 North Grandview Street Dubuque IA 52001,NA,563-589-2566,NA,NA,NA,NA,MH * HI OP * IPSY * FLUPH HALOP PERPH ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT AIM * PEON * PVTN * CLF MC MD MI PI SF SI * SE GL VET ADM MF HV DV TRMA ALZ PEFP PTSD SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT IMR CM SPS,NA,NA
UnityPoint Health,Finley Hospital,350 North Grandview Avenue Dubuque IA 52001,NA,563-582-1881,563-589-2566,NA,NA,NA,MH * HI OP * IPSY * FLUPH HALOP PERPH ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * CLF MC MD MI PI SF SI * SE GL VET ADM MF HV TRMA TBI ALZ PTSD * STU * HIVT STDT TBS MST LABT * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * CDM CM SPS,42.49636805,-90.68599911089376
Northeast Iowa Mental Health Center,NA,911 Carter Street NW Elkader IA 52043,NA,563-382-3649,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT CM SPS,42.8601096,-91.4154472
Plains Area Mental Health Center,NA,3204 1st Street Emmetsburg IA 50536,NA,712-250-6658,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP CARIP LURAS PALIP RISPE ANTPYCH * CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT CM IPC ES,43.11909704081632,-94.69171751020409
Seasons Center for Behavioral Health,NA,918 Broadway Street Emmetsburg IA 50536,NA,800-242-5101,NA,712-262-2922,NA,NA,MH * OP * CMHC * CBT CFT DBT EMDR IPT TELE * PVTN * CLF MC MD MI OSF PI SF SI VAF * SS * PEER * SMON * ADLT CHLD SNR YAD * VAPN * COOT SPS,43.11174328571428,-94.67873830612244
Prairie View Management Inc,NA,18569 Lane Road Fayette IA 52142,NA,563-422-5606 x108,NA,563-422-5220,NA,NA,SA MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH THIOT TRIFL CLOZA OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * AT CBT GT * CIT * PVTN * CLF SF SI * CJ CO SMI * ADLT SNR YAD * VAPN * ACT COOT PRS,42.900685445749644,-91.83384931998847
Catholic Charities,Diocese of Sioux City,3 North 17th Street Fort Dodge IA 50501,Suite 1,515-576-4156,NA,NA,NA,NA,MH * OP * OMH * CBT CFT DBT EMDR IPT TELE * CIT * PVTN * MHC * CLF MC MD PI SCJJ SF SI SWFS * PA SS * TRMA PTSD * STU * SMON * ADLT CHLD SNR YAD * VAPN * COOT FPSY CM ES,42.50633985707992,-94.1748350797191
Children and Families of Iowa,NA,111 Avenue O West Fort Dodge IA 50501,NA,515-573-2193,515-573-2193 x201,NA,NA,NA,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * PVTN * MD MI PI SF SI * TAY SE CO DV TRMA PTSD SED * STU * PEER * TCC * ADLT CHLD SNR YAD * VPPD * COOT FPSY PRS VRS CM IPC SPS ES,42.4867252020202,-94.20926184848486
Richmond Center,NA,211 Avenue M West Fort Dodge IA 50501,NA,515-576-7261,NA,866-801-0085,NA,NA,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF MC MD MI PI SCJJ SF SI SWFS VAF * SS * CO TRMA PTSD * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY SPS ES,42.488542816326536,-94.2078572244898
Counseling Associates,NA,1014 Avenue H Fort Madison IA 52627,Suite 1,319-372-7689,NA,NA,NA,NA,MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT * PVTP * MHC * CLF MC MD MI PI SCJJ SF SI * SS * PEER * SMOP * ADLT CHLD SNR YAD * VAPP * COOT CM SPS,40.62999111441751,-91.3157105645498
Myrtue Medical Center,Behavioral Health,1303 Garfield Avenue Harlan IA 51537,NA,712-755-5056,NA,712-755-5161,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP ARIPI BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * LCCG * MHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * TAY * LABT * HS PEER * SMON * ADLT CHLD SNR YAD * VAPN * AOT COOT DEC FPSY PRS SEMP SPS,41.64739397959183,-95.32755581632654
Plains Area Mental Health Center,Ida Grove,700 East 2nd Street Ida Grove IA 51445,Suite 2,712-364-3500,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP CARIP LURAS PALIP RISPE ANTPYCH * CBT CRT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY CM ES,42.3385116,-95.457877
Abbe Ctr for Comm Mental Health,NA,2349 Jamestown Avenue Independence IA 50644,Suite 5,319-334-4010,NA,NA,NA,NA,MH SUMH * OP * CMHC * CBT CFT IPT * PEON * PVTN * CLF CSBG MC MD MI PI SCJJ SF SI SMHA SWFS VAF * STU * ADLT CHLD SNR YAD * AH * VPPD * CM,42.44780301551125,-91.89000298798732
Mental Health Institute,NA,2277 Iowa Avenue Independence IA 50644,NA,319-334-2583,NA,NA,NA,NA,MH * HI * PSY * CHLOR FLUPH HALOP LOXAP PERPH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT AIM * CIT PEON * STG * CLF MC MD MI OSF PI SEF SF SI SMHA * TAY SE SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC FPSY ES,42.456304,-91.92558596743606
Abbe Ctr for Comm Mental Health,NA,1039 Arthur Street Iowa City IA 52240,NA,319-338-7884,NA,NA,NA,NA,MH SUMH * OP * CMHC * CBT CFT IPT * PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF * STU * ADLT CHLD SNR YAD * AH * VPPD * CM,41.64911690710637,-91.49724243288568
Chatham Oaks,NA,4515 Melrose Avenue Iowa City IA 52246,NA,319-887-2701,NA,NA,NA,NA,MH SUMH * RES * RTCA * NRT NSC ANTPYCH * GT IPT * PVTN * CLF MC MD SF SMHA VAF * TAY SE GL CJ CO HV DV TBI PED PEFP PTSD SMI * TCC * ADLT SNR YAD * VAPN * CDM COOT IMR LAD PRS CM IPC SPS,41.6563185,-91.6021956171237
Veterans Affairs Med Center Outpatient,Subst Abuse Treatment Program (SATP),601 Highway 6 West Iowa City IA 52246,Unit 116-A,319-338-0581 x5400,319-688-3334,319-338-0581 x5447,NA,NA,SA MH SUMH * HI OP * VAHC * NRT NSC ANTPYCH * AT CBT CFT DBT ECT EMDR GT IDD IPT TELE * PEON WI * FED VAMC * MI PI VAF * GL VET CO DV PEFP PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT CDM COOT DEC FPSY ICM IMR LAD PRS SEMP SH VRS CM IPC SPS,41.66381725,-91.54775871381842
Youth Homes of Mid America,NA,7225 NW 58th Street Johnston IA 50131,NA,515-276-3473,NA,NA,NA,NA,SA MH SUMH * OP RES * MSMH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MD MI PI SCJJ SF SI SMHA SWFS * PA SS * TAY GL CJ CO TRMA TBI PTSD SED * PEER * ADLT CHLD SNR YAD * VPPD * COOT FPSY PRS TPC SPS ES,41.69255416161616,-93.69751047474747
Counseling Associates,NA,1522 Morgan Street Keokuk IA 52632,NA,319-524-0510,NA,NA,NA,NA,MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT * PVTP * MHC * CLF MC MD MI PI SCJJ SF SI * SS * PEER * SMOP * ADLT CHLD SNR YAD * VAPP * COOT CM SPS,40.40637746290476,-91.38766582867603
Young House Family Services,Keokuk Office,629 Blondeau Street Keokuk IA 52632,Suite 201,319-524-2386,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MD PI SCJJ SF SWFS * PA * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT,40.397533061622426,-91.38323780596598
Community Health Centers of,Southern Iowa,802 East Ackerley Street Lamoni IA 50140,NA,641-784-7911,NA,NA,NA,NA,MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT IDD IPT TELE * CIT PEOFF * PVTN * FQHC * CLF CMHG MC MD MI PI SF SI SMHA * SS * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR IPC SPS,NA,NA
Plains Area Mental Health Center,NA,180 10th Street SE Le Mars IA 51031,Suite 201,712-546-4624,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP PALIP ANTPYCH * CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY CM IPC ES,42.78117135990245,-96.16401397805156
Abbe Ctr for Comm Mental Health,NA,721 South 5th Street Manchester IA 52057,NA,563-927-6700,NA,NA,NA,NA,MH SUMH * OP * CMHC * CBT CFT IPT * PEON WI * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SF SI * STU * ADLT CHLD SNR YAD * AH * VPPD * CDM COOT IMR,42.47818554803092,-91.46466529157613
